n,seed,dim_restricted,mean_restricted,max_restricted,min_restricted,elapsed_time
3,88,5,0.00025901391530866273,0.0003563183498723665,7.935937792352448e-05,0.27001590000872966
3,83,5,0.00013010819483450176,0.00025306853335507447,2.4422598207922133e-05,0.2546643999958178
3,10,5,0.00012975751584372625,0.00021296604658302247,4.1358472985193735e-05,0.2605519000062486
3,78,5,0.0001305217374676725,0.00023037262472527562,2.1204928122318308e-05,0.26201140000193845
3,82,5,1.0446890220923426e-05,1.704908830764207e-05,2.246232522412928e-06,0.2700518999918131
3,22,5,1.2890650680827771e-05,2.1601510094931028e-05,4.898434053705763e-06,0.2633099999948172
3,69,5,7.011975121651563e-05,0.00015099321835971248,9.941419618866256e-06,0.2759282000042731
3,94,5,8.755321789163604e-05,0.0001200193457653413,4.484172293651572e-05,0.23100939999858383
3,32,5,1.825029063601213e-05,4.190695825394125e-05,2.0186326907791558e-06,0.23503910000727046
3,21,5,0.0001988222217052785,0.000322999957652599,6.913402187454356e-05,0.23284900000726338
4,82,7,2.1812981587884454e-06,3.568704161656286e-06,1.2402833648306757e-06,0.44296549999853596
4,15,7,7.048065156293698e-07,2.231197766326453e-06,2.7405657392694756e-07,0.43938619999971706
4,4,7,1.3255488707688663e-06,3.3018908369365757e-06,4.015635902075211e-07,0.4360523000068497
4,95,7,9.264062899282614e-06,1.435890561772576e-05,1.470467942514539e-06,0.4398150000051828
4,36,7,1.7477382550639844e-06,3.785242898081968e-06,7.323993069903957e-07,0.4367733999970369
